open_signal,open_exec,close_signal,close_exec,side,month,reason,qty,z_open,z_close,S_entry,S_exit,hold_days,rolls,pnl,mae,cost,margin,net,ret,variant,year
20250604,20250605,20250613,20250616,1,202509,stop_loss,1.0,-2.541822758100539,-3.900799000908461,1975.0,-155.0,7,0,-2130.0,-2130.0,108.16,16570.2,-2238.16,-0.13507139322398037,A 固定手数,2025
20250722,20250723,20250725,20250728,1,202509,stop_loss,1.0,-2.9820879338964352,-3.928559414552831,-1110.0,-2150.0,3,0,-1040.0,-1075.0,109.542,17566.8,-1149.542,-0.06543832684381902,A 固定手数,2025
20250814,20250815,20250905,20250908,-1,202601,take_profit,1.0,2.9121507660139963,-0.9945742065701456,-1025.0,-1350.0,16,0,325.0,-1845.0,108.86250000000001,17422.8,216.1375,0.012405439998163325,A 固定手数,2025
20251013,20251014,20251022,20251023,1,202601,take_profit,1.0,-2.7528265035779316,0.8560640390489132,-1975.0,95.0,7,0,2070.0,0.0,107.442,16636.8,1962.558,0.1179648730525101,A 固定手数,2025
20251030,20251031,20251125,20251126,-1,202601,take_profit,1.0,2.958426328391862,-0.07256824976042892,2035.0,3005.0,18,0,-970.0,-3910.0,106.178,16120.199999999999,-1076.1779999999999,-0.06675959355342985,A 固定手数,2025
20251219,20251222,20251222,20251223,1,202605,stop_loss,1.0,-2.6641901341551417,-4.352270726815561,-1495.0,-2775.0,1,0,-1280.0,-1360.0,105.36699999999999,15252.599999999999,-1385.367,-0.09082825223240629,A 固定手数,2025
20260303,20260304,20260305,20260306,1,202605,take_profit,1.0,-5.9573712424268574,0.04351003909904608,-4300.0,5.0,2,0,4305.0,0.0,110.27850000000001,17859.0,4194.7215,0.2348799764824458,A 固定手数,2026
20260309,20260310,20260310,20260311,1,202605,take_profit,1.0,-3.9775570140884398,1.2834724117167566,2800.0,1060.0,1,0,-1740.0,-1740.0,112.768,19774.8,-1852.768,-0.09369338754374254,A 固定手数,2026
20260319,20260320,20260507,20260508,1,202605,take_profit,1.0,-2.5354438881304833,1.18397493138862,-4600.0,-2350.0,31,1,-3545.0,-6370.0,231.9275,22299.6,-3776.9275,-0.16937198425083858,A 固定手数,2026
20260608,20260609,20260615,20260616,1,202609,take_profit,1.0,-3.3049296166153517,0.5375834115897277,-5320.0,-3785.0,5,0,1535.0,-2490.0,113.71549999999999,21257.399999999998,1421.2845,0.06686069321742076,A 固定手数,2026
20260803,20260804,20260821,20260824,-1,202701,take_profit,1.0,2.5370328354014045,-0.08112999671462633,-2405.0,-2290.0,14,0,-115.0,-2055.0,111.1865,17938.2,-226.1865,-0.012609208281767401,A 固定手数,2026
20260901,20260902,20260903,20260904,1,202701,take_profit,1.0,-2.734883079913801,0.18832331387059098,-3285.0,-2165.0,2,0,1120.0,-270.0,113.97300000000001,20169.0,1006.027,0.04987986513957063,A 固定手数,2026
20260907,20260908,20260911,20260911,1,202701,end,1.0,-2.5019450510474095,-0.8634052129970995,-3430.0,-3080.0,3,0,350.0,-255.0,115.04299999999999,20661.6,234.957,0.011371674991288187,A 固定手数,2026
20190416,20190417,20190514,20190515,-1,201909,take_profit,1.1553187767963793,2.7672619850262343,-0.24390181199916616,11780.0,7850.0,17,0,4540.40279280977,-1403.7123138076008,174.53978420451298,22195.29114854596,4365.863008605257,0.19670221847444747,B 波动定手数,2019
20190628,20190701,20190925,20190926,-1,201909,take_profit,1.3383050302558956,2.515769519443563,-0.2720721413770862,12845.0,7065.0,62,1,-1505.5931590378848,-10157.73517964225,400.3238379378704,23968.240108864935,-1905.9169969757552,-0.07951843724524561,B 波动定手数,2019
20191202,20191203,20191217,20191218,-1,202005,take_profit,1.183654377035583,2.70326914431134,-0.029850510441136544,13765.0,9310.0,11,0,5273.180249693522,0.0,174.44165564280755,19148.21358818003,5098.738594050714,0.2662775078505551,B 波动定手数,2019
20200114,20200115,20200303,20200304,1,202005,take_profit,0.9810329043115212,-2.9339138210166658,0.1037818912435095,4230.0,8720.0,29,0,4404.837740358731,-588.6197425869128,144.98783396110403,17251.26741573724,4259.849906397627,0.2469296779036441,B 波动定手数,2020
20200413,20200414,20200416,20200417,-1,202009,stop_loss,0.9034213333877767,4.028684450071428,3.785790865754083,12460.0,12850.0,3,0,-352.33432002123334,-469.7790933616443,130.16765597851105,13318.237296802605,-482.5019759997444,-0.03622866639533309,B 波动定手数,2020
20200423,20200424,20200424,20200427,-1,202009,stop_loss,0.9825702981041093,3.1290881590376878,3.8315803093109873,13105.0,14265.0,1,0,-1139.7815458007667,-1164.3458032533695,140.81902741338664,13802.951033706906,-1280.6005732141534,-0.0927773032076197,B 波动定手数,2020
20200506,20200507,20200917,20200918,-1,202009,take_profit,0.9206867249792776,3.058254390960823,-0.0425864709968921,14290.0,12110.0,94,1,-4829.001872516321,-10003.261266899857,268.20663088380087,13430.241394617717,-5097.208503400122,-0.379532158330592,B 波动定手数,2020
20201211,20201214,20201215,20201216,1,202105,stop_loss,0.7816872279653044,-2.716932233776586,-5.0052014644019,8705.0,4925.0,2,0,-2954.777721708851,-2954.777721708851,118.26693252946667,14721.828239161763,-3073.044654238318,-0.20874069472320458,B 波动定手数,2020
20201224,20201225,20201231,20201231,1,202105,end,0.7751530191981217,-3.0872839386344486,-1.9673514259120533,5625.0,6975.0,4,0,1046.4565759174643,-383.70074450307027,116.78455387238901,14516.910712938583,929.6720220450753,0.06404062409893314,B 波动定手数,2020
20210114,20210115,20210201,20210202,-1,202105,take_profit,0.7663893414666963,2.5661781515636792,0.9606436531737603,8110.0,11475.0,12,0,-2578.900134035433,-3866.434227699483,114.6522286780885,13515.889148238362,-2693.5523627135217,-0.19928784064232982,B 波动定手数,2021
20210218,20210219,20210225,20210226,-1,202105,take_profit,0.8319843432198257,3.2702501144353056,0.9681616401227569,16010.0,15385.0,5,0,519.9902145123909,-2158.999370655448,126.85057284986878,15721.009752613183,393.13964166252214,0.02500727674933053,B 波动定手数,2021
20210409,20210412,20210428,20210429,1,202109,take_profit,0.8006927205775444,-2.6260826169688047,-0.838728341988123,12360.0,10855.0,13,0,-1205.0425444692048,-2129.842636736268,121.24689694525611,15102.826234077758,-1326.289441414461,-0.0878173012692051,B 波动定手数,2021
20210512,20210513,20210513,20210514,1,202109,stop_loss,0.7892983516277943,-3.3847440541599063,-4.122789375140669,4940.0,2755.0,1,0,-1724.6168983067305,-1732.5098818230085,121.28003286854454,15900.415293541915,-1845.896931175275,-0.11609111442045174,B 波动定手数,2021
