date,A 固定手数,B 波动定手数,C 波动定手数+金额止损
20230217,1.004981239828961,1.2309634365848103,0.7277820514534991
20230220,1.004981239828961,1.2309634365848103,0.7277820514534991
20230221,1.004981239828961,1.2309634365848103,0.7277820514534991
20230222,1.004981239828961,1.2309634365848103,0.7277820514534991
20230223,1.004981239828961,1.2309634365848103,0.7277820514534991
20230224,1.004981239828961,1.2309634365848103,0.7277820514534991
20230227,1.004981239828961,1.2309634365848103,0.7277820514534991
20230228,1.004981239828961,1.2309634365848103,0.7277820514534991
20230301,1.004981239828961,1.2309634365848103,0.7277820514534991
20230302,1.004981239828961,1.2309634365848103,0.7277820514534991
20230303,1.004981239828961,1.2309634365848103,0.7277820514534991
20230306,1.004981239828961,1.2309634365848103,0.7277820514534991
20230307,1.004981239828961,1.2309634365848103,0.7277820514534991
20230308,1.004981239828961,1.2309634365848103,0.7277820514534991
20230309,1.004981239828961,1.2309634365848103,0.7277820514534991
20230310,1.004981239828961,1.2309634365848103,0.7277820514534991
20230313,1.004981239828961,1.2309634365848103,0.7277820514534991
20230314,1.004981239828961,1.2309634365848103,0.7277820514534991
20230315,1.004981239828961,1.2309634365848103,0.7277820514534991
20230316,1.004981239828961,1.2309634365848103,0.7277820514534991
20230317,1.004981239828961,1.2309634365848103,0.7277820514534991
20230320,1.004981239828961,1.2309634365848103,0.7277820514534991
20230321,1.004981239828961,1.2309634365848103,0.7277820514534991
20230322,1.004981239828961,1.2309634365848103,0.7277820514534991
20230323,1.004981239828961,1.2309634365848103,0.7277820514534991
20230324,1.004981239828961,1.2309634365848103,0.7277820514534991
20230327,1.004981239828961,1.2309634365848103,0.7277820514534991
20230328,1.004981239828961,1.2309634365848103,0.7277820514534991
20230329,1.004981239828961,1.2309634365848103,0.7277820514534991
20230330,1.004981239828961,1.2309634365848103,0.7277820514534991
20230331,1.000104783479886,1.2236275818050335,0.7204461966737223
20230403,0.9826063966124253,1.197304035411679,0.6941226502803678
20230404,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230406,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230407,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230410,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230411,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230412,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230413,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230414,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230417,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230418,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230419,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230420,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230421,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230424,0.9825106567405282,1.1971600099664383,0.6939786248351271
20230425,0.9724535789885815,1.1794999654907932,0.6763185803594819
20230426,0.9594222781710969,1.1566172397439678,0.6534358546126566
20230427,0.9577580157862713,1.153694825454243,0.6505134403229316
20230428,0.9577580157862713,1.153694825454243,0.6505134403229316
20230504,0.9577580157862713,1.153694825454243,0.6505134403229316
20230505,0.9577580157862713,1.153694825454243,0.6505134403229316
20230508,0.9577580157862713,1.153694825454243,0.6505134403229316
20230509,0.9577580157862713,1.153694825454243,0.6505134403229316
20230510,0.9577580157862713,1.153694825454243,0.6505134403229316
20230511,0.9577580157862713,1.153694825454243,0.6505134403229316
20230512,0.9577580157862713,1.153694825454243,0.6505134403229316
20230515,0.9577580157862713,1.153694825454243,0.6505134403229316
20230516,0.9577580157862713,1.153694825454243,0.6505134403229316
20230517,0.9577580157862713,1.153694825454243,0.6505134403229316
20230518,0.9577580157862713,1.153694825454243,0.6505134403229316
20230519,0.9377849733714361,1.1185102626733063,0.615328877541995
20230522,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230523,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230524,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230525,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230526,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230529,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230530,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230531,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230601,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230602,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230605,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230606,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230607,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230608,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230609,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230612,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230613,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230614,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230615,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230616,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230619,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230620,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230621,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230626,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230627,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230628,0.9328982882730669,1.1099018656618158,0.6067204805305046
20230629,0.9328982882730669,1.1099018656618158,0.6067204805305046
