w,entry,exit,fill,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share
120,2.0,0.0,close,0.09111793178889704,0.928281763881626,0.18174079542281338,0.5,42,24.642857142857142,18,12,0.4027268303621661
120,2.0,0.0,open,0.10752437306199551,0.8361003882556164,0.21354008334472874,0.5238095238095238,42,24.61904761904762,18,12,0.4027824077494956
120,2.0,0.5,close,0.0346859855986137,0.9879445676603847,0.0737925148460692,0.5111111111111111,45,19.11111111111111,18,9,0.4052813486706534
120,2.0,0.5,open,0.04607130148704847,0.887586482734804,0.09751754635841048,0.5333333333333333,45,19.08888888888889,18,9,0.4053313656330543
120,2.0,1.0,close,0.032275126401567926,0.7803324582470273,0.0785576521985658,0.5576923076923077,52,12.403846153846153,18,7,0.4477252809384331
120,2.0,1.0,open,0.045405751272343496,0.7239796500377601,0.11010321948166672,0.5769230769230769,52,12.403846153846153,18,7,0.4477548290902274
120,2.5,0.0,close,0.1373692797370679,0.6617136441570644,0.2590949736017092,0.6206896551724138,29,36.93103448275862,6,14,0.3260205804388912
120,2.5,0.0,open,0.1449819973052593,0.715592304724386,0.2729922429268795,0.6206896551724138,29,36.89655172413793,6,14,0.32606729338068247
120,2.5,0.5,close,0.050301226816537314,0.794191783743155,0.10091233094076725,0.6,30,29.5,6,10,0.3083987073957086
120,2.5,0.5,open,0.06292633930182422,0.835543667776691,0.12586713510077965,0.6,30,29.466666666666665,6,10,0.3084584483862455
120,2.5,1.0,close,0.08107255600573196,0.875113201342819,0.1895241059121684,0.6176470588235294,34,18.38235294117647,6,9,0.3332336066353583
120,2.5,1.0,open,0.08576080004401682,0.9130024069338757,0.19969113537695773,0.6176470588235294,34,18.38235294117647,6,9,0.3332942877943613
